"country","category","year","emissions","pop","gdp","lgdp","lpop","lemissions","const","lgdp_sq","emissions_pc","lemissions_pc"
"SE23","Energy",2009,3261.3709684801,1851702,60040.87,11.0027807759822,14.4316157741139,8.08990292843611,1,121.061184804323,0.00176128284598715,-6.34171284567778
"SE23","Energy",2010,4709.623814874,1866283,71015.64,11.1706554134551,14.4394593101976,8.45736331436723,1,124.783542366155,0.00252353143380398,-5.9820959958304
"SE23","Energy",2011,3376.6580836925,1879781,78497.56,11.2708228204849,14.446665838659,8.12464176672317,1,127.031447050763,0.0017963039756719,-6.32202407193585
"SE23","Energy",2012,3537.6002430433,1892328,81228.61,11.3050228039941,14.4533183750908,8.17120387880606,1,127.803540598827,0.00186944348075138,-6.28211449628473
"SE23","Energy",2013,3189.4644555638,1904563,83839.82,11.336663352606,14.4597631439021,8.06760829941668,1,128.51993597032,0.00167464371384081,-6.39215484448543
"SE23","Energy",2014,2904.1700098166,1921924,83509.13,11.332711246179,14.468837325587,7.97390291755637,1,128.430344189272,0.00151107432438359,-6.49493440803059
"SE23","Energy",2015,2825.6698011472,1942677,88358.6,11.3891588131351,14.4795774767639,7.94650071322853,1,129.712938470813,0.00145452373253361,-6.53307676353538
"SE23","Energy",2016,3341.5926048888,1963466,90916.78,11.4176998615892,14.490221836833,8.11420280013551,1,130.363870129334,0.00170188462896164,-6.37601903669745
"SE23","Energy",2017,3212.7714864876,1992116,94243.2,11.4536339541663,14.5047079483629,8.07488923504524,1,131.185730756031,0.00161274317684693,-6.4298187133177
"SE23","Energy",2018,3194.472765328,2015607,91078.92,11.4194816623999,14.5164309486938,8.06917733451787,1,130.404561437887,0.00158486885852649,-6.44725361417597
"SE23","Energy",2019,2773.0730114761,2039166,92036.49,11.4299404078289,14.5280514586999,7.92771137468716,1,130.64353772652,0.00135990547678615,-6.60034008401271
"SE23","Energy",2020,2734.2808199407,2059729,91160.23,11.4203740063929,14.5380849787138,7.91362372595969,1,130.424942445894,0.00132749542291277,-6.62446125275411
"SE23","Energy",2021,2642.8834532738,2071191,101339.68,11.5262333213379,14.543634362103,7.87962581725434,1,132.854054577921,0.00127602111696787,-6.66400854484862
"SE23","Industry",2000,3621.1336316411,1762246,54257.54,10.9014972479201,14.382099689808,8.19454241370802,1,118.84264224641,0.00205484003461554,-6.18755727610002
"SE23","Industry",2001,3295.2835906625,1769645,52219.05,10.8632026498241,14.3862895194624,8.10024751020195,1,118.009171811146,0.00186211561678331,-6.28604200926047
"SE23","Industry",2002,3018.8887760832,1777510,54155.13,10.899607984784,14.3907240665228,8.01264408771755,1,118.801454221967,0.00169838075514804,-6.3780799788052
"SE23","Industry",2003,3289.3351518504,1786781,57985.95,10.9679560188041,14.3959262348688,8.09844074183376,1,120.29605923042,0.00184092798829314,-6.29748549303499
"SE23","Industry",2004,3715.5562145198,1796314,59427.65,10.9925148852602,14.4012473455249,8.22028366721522,1,120.835383502667,0.00206843358929441,-6.1809636783097
"SE23","Industry",2005,4795.6695123486,1805683,60462.72,11.0097822557436,14.4064494715282,8.47546860475485,1,121.215305318887,0.00265587565057023,-5.93098086677336
"SE23","Industry",2006,5021.9916263784,1814323,65511.87,11.0899866265788,14.4112229533434,8.52158187232833,1,122.987803377696,0.00276796999562834,-5.88964108101511
"SE23","Industry",2007,4749.2464988665,1827143,68869.84,11.1399736253184,14.4182641026858,8.46574125262775,1,124.099012372789,0.00259927465932688,-5.95252285005804
"SE23","Industry",2008,4622.4031084045,1838691,68999.09,11.1418485950866,14.4245644633673,8.43867000217724,1,124.140790115834,0.00251396406922343,-5.98589446119011
"SE23","Industry",2009,4414.6759252236,1851702,60040.87,11.0027807759822,14.4316157741139,8.39268970722356,1,121.061184804323,0.00238411792244303,-6.03892606689033
"SE23","Industry",2010,4234.6376358949,1866283,71015.64,11.1706554134551,14.4394593101976,8.3510530392919,1,124.783542366155,0.0022690222414794,-6.08840627090572
"SE23","Industry",2011,3985.8932038515,1879781,78497.56,11.2708228204849,14.446665838659,8.29051670760184,1,127.031447050763,0.00212040296388329,-6.15614913105718
"SE23","Industry",2012,4076.8770241663,1892328,81228.61,11.3050228039941,14.4533183750908,8.31308653904971,1,127.803540598827,0.00215442408724402,-6.14023183604107
"SE23","Industry",2013,3635.545707111,1904563,83839.82,11.336663352606,14.4597631439021,8.19851450445256,1,128.51993597032,0.00190886082902535,-6.26124863944956
"SE23","Industry",2014,4355.875657373,1921924,83509.13,11.332711246179,14.468837325587,8.37928093850608,1,128.430344189272,0.00226641410241664,-6.08955638708088
"SE23","Industry",2015,4347.911458243,1942677,88358.6,11.3891588131351,14.4795774767639,8.3774508842442,1,129.712938470813,0.00223810312174541,-6.10212659251972
"SE23","Industry",2016,4293.6258296362,1963466,90916.78,11.4176998615892,14.490221836833,8.36488683669048,1,130.363870129334,0.00218675843107861,-6.12533500014248
"SE23","Industry",2017,4300.3302064075,1992116,94243.2,11.4536339541663,14.5047079483629,8.36644709092108,1,131.185730756031,0.00215867459847092,-6.13826085744186
"SE23","Industry",2018,2856.806435437,2015607,91078.92,11.4194816623999,14.5164309486938,7.95745964895097,1,130.404561437887,0.00141734298176033,-6.55897129974287
"SE23","Industry",2019,2666.041697542,2039166,92036.49,11.4299404078289,14.5280514586999,7.88835014110471,1,130.64353772652,0.00130741768818331,-6.63970131759515
"SE23","Industry",2020,4040.3934778217,2059729,91160.23,11.4203740063929,14.5380849787138,8.30409736171298,1,130.424942445894,0.0019616141141974,-6.23398761700082
"SE23","Industry",2021,3909.376592325,2071191,101339.68,11.5262333213379,14.543634362103,8.27113320096455,1,132.854054577921,0.00188750172838961,-6.27250116113841
"SE23","Transport",2000,3060.4139549256,1762246,54257.54,10.9014972479201,14.382099689808,8.02630546518445,1,118.84264224641,0.00173665535624743,-6.35579422462359
"SE23","Transport",2001,3047.7609824986,1769645,52219.05,10.8632026498241,14.3862895194624,8.02216249591628,1,118.009171811146,0.00172224428204448,-6.36412702354614
"SE23","Transport",2002,3104.6752639435,1777510,54155.13,10.899607984784,14.3907240665228,8.04066440401688,1,118.801454221967,0.00174664292405865,-6.35005966250587
"SE23","Transport",2003,3135.6171139764,1786781,57985.95,10.9679560188041,14.3959262348688,8.05058128025872,1,120.29605923042,0.00175489727838857,-6.34534495461003
"SE23","Transport",2004,3187.5102931729,1796314,59427.65,10.9925148852602,14.4012473455249,8.06699541869218,1,120.835383502667,0.00177447277768414,-6.33425192683274
"SE23","Transport",2005,3028.8973020131,1805683,60462.72,11.0097822557436,14.4064494715282,8.01595390553766,1,121.215305318887,0.0016774247207362,-6.39049556599055
"SE23","Transport",2006,3052.6201150259,1814323,65511.87,11.0899866265788,14.4112229533434,8.02375555493251,1,122.987803377696,0.00168251194248538,-6.38746739841092
"SE23","Transport",2007,3079.0100648778,1827143,68869.84,11.1399736253184,14.4182641026858,8.03236341679795,1,124.099012372789,0.00168515002103163,-6.38590068588784
"SE23","Transport",2008,3019.2070541021,1838691,68999.09,11.1418485950866,14.4245644633673,8.01274951102587,1,124.140790115834,0.00164204156875848,-6.41181495234148
"SE23","Transport",2009,2954.0337310015,1851702,60040.87,11.0027807759822,14.4316157741139,7.99092688178087,1,121.061184804323,0.00159530730700809,-6.44068889233302
"SE23","Transport",2010,3003.990070325,1866283,71015.64,11.1706554134551,14.4394593101976,8.00769670739421,1,124.783542366155,0.00160961122741031,-6.43176260280341
"SE23","Transport",2011,2955.4882222352,1879781,78497.56,11.2708228204849,14.446665838659,7.99141913522356,1,127.031447050763,0.00157225135387324,-6.45524670343545
"SE23","Transport",2012,2809.5552113337,1892328,81228.61,11.3050228039941,14.4533183750908,7.94078146201736,1,127.803540598827,0.00148470836521665,-6.51253691307343
"SE23","Transport",2013,2732.1335382232,1904563,83839.82,11.336663352606,14.4597631439021,7.9128380987872,1,128.51993597032,0.0014345199073085,-6.54692504511492
"SE23","Transport",2014,2664.0793727214,1921924,83509.13,11.332711246179,14.468837325587,7.88761382578152,1,128.430344189272,0.00138615229984193,-6.58122349980544
