"country","year","gdp","pop","category","emissions","lgdp","lpop","lemissions","const","lgdp_sq","emissions_pc","lemissions_pc"
"Greece",2021,201202601384.494,10641221,"2.B",1e-06,26.0275782044348,16.1802457909329,-13.8155105579643,1,677.43482718797,9.3974178339121e-14,-29.9957563488972
"Greece",2021,201202601384.494,10641221,"2.C",0.031801430538938,26.0275782044348,16.1802457909329,-3.44824400470663,1,677.43482718797,2.98851330490533e-09,-19.6284897956396
"Greece",2021,201202601384.494,10641221,"2.F",3.93524740321533,26.0275782044348,16.1802457909329,1.36997375237464,1,677.43482718797,3.69811641278321e-07,-14.8102720385583
"Greece",2021,201202601384.494,10641221,"2.G",0.0156306310798165,26.0275782044348,16.1802457909329,-4.15852275917597,1,677.43482718797,1.46887571264768e-09,-20.3387685501089
"Greece",2022,213101136341.436,10566531,"2.B",1e-06,26.0850327084696,16.1732021109803,-13.8155105579643,1,680.428931401929,9.46384390487285e-14,-29.9887126689445
"Greece",2022,213101136341.436,10566531,"2.C",0.0311200511508772,26.0850327084696,16.1732021109803,-3.46990293600758,1,680.428931401929,2.9451530640356e-09,-19.6431050469878
"Greece",2022,213101136341.436,10566531,"2.F",3.90125133503541,26.0850327084696,16.1732021109803,1.36129735680988,1,680.428931401929,3.69208336684519e-07,-14.8119047541704
"Greece",2022,213101136341.436,10566531,"2.G",0.0156263209489776,26.0850327084696,16.1732021109803,-4.15879854619847,1,680.428931401929,1.47885062268568e-09,-20.3320006571787
"Croatia",1969,NA,4391490,NA,NA,NA,15.2951791352105,NA,1,NA,NA,NA
"Croatia",1970,NA,4412252,NA,NA,NA,15.2998957746782,NA,1,NA,NA,NA
"Croatia",1971,NA,4431275,NA,NA,NA,15.3041979109956,NA,1,NA,NA,NA
"Croatia",1972,NA,4450564,NA,NA,NA,15.3085413876844,NA,1,NA,NA,NA
"Croatia",1973,NA,4470161,NA,NA,NA,15.3129349838382,NA,1,NA,NA,NA
"Croatia",1974,NA,4490660,NA,NA,NA,15.3175102422345,NA,1,NA,NA,NA
"Croatia",1975,NA,4512082,NA,NA,NA,15.3222692457538,NA,1,NA,NA,NA
"Croatia",1976,NA,4535934,NA,NA,NA,15.3275415740193,NA,1,NA,NA,NA
"Croatia",1977,NA,4559571,NA,NA,NA,15.3327390981175,NA,1,NA,NA,NA
"Croatia",1978,NA,4581085,NA,NA,NA,15.3374464275974,NA,1,NA,NA,NA
"Croatia",1979,NA,4594778,NA,NA,NA,15.3404309992207,NA,1,NA,NA,NA
"Croatia",1980,NA,4599782,NA,NA,NA,15.341519469032,NA,1,NA,NA,NA
"Croatia",1981,NA,4611509,NA,NA,NA,15.3440656932986,NA,1,NA,NA,NA
"Croatia",1982,NA,4634234,NA,NA,NA,15.348981479031,NA,1,NA,NA,NA
"Croatia",1983,NA,4658254,NA,NA,NA,15.3541512577809,NA,1,NA,NA,NA
"Croatia",1984,NA,4680285,NA,NA,NA,15.3588695634756,NA,1,NA,NA,NA
"Croatia",1985,NA,4701417,NA,NA,NA,15.3633745106032,NA,1,NA,NA,NA
"Croatia",1986,NA,4721446,NA,NA,NA,15.3676256665765,NA,1,NA,NA,NA
"Croatia",1987,NA,4739745,NA,NA,NA,15.3714938947558,NA,1,NA,NA,NA
"Croatia",1988,NA,4755207,NA,NA,NA,15.3747507861371,NA,1,NA,NA,NA
"Croatia",1989,NA,4767260,NA,NA,NA,15.3772822743401,NA,1,NA,NA,NA
"Croatia",1990,NA,4777368,"2.C",0.137448,NA,15.3794003252015,-1.98450961522247,1,NA,2.87706536318743e-08,-17.363909940424
"Croatia",1990,NA,4777368,"2.F",1e-06,NA,15.3794003252015,-13.8155105579643,1,NA,2.09320278446207e-13,-29.1949108831658
"Croatia",1990,NA,4777368,"2.G",0.0010158327,NA,15.3794003252015,-6.89204660873901,1,NA,2.12634383618762e-10,-22.2714469339405
"Croatia",1991,NA,4689022,"2.C",0.10028,NA,15.3607345898927,-2.29978900569204,1,NA,2.13861227351887e-08,-17.6605235955847
"Croatia",1991,NA,4689022,"2.F",1e-06,NA,15.3607345898927,-13.8155105579643,1,NA,2.13264087905751e-13,-29.1762451478569
"Croatia",1991,NA,4689022,"2.G",0.0014657633,NA,15.3607345898927,-6.52537914830814,1,NA,3.12594673260224e-10,-21.8861137382008
"Croatia",1992,NA,4575818,"2.C",0.05336,NA,15.3362960385235,-2.93069387737477,1,NA,1.16613029626615e-08,-18.2669899158983
"Croatia",1992,NA,4575818,"2.F",1e-06,NA,15.3362960385235,-13.8155105579643,1,NA,2.18540160469669e-13,-29.1518065964878
"Croatia",1992,NA,4575818,"2.G",0.002010372,NA,15.3362960385235,-6.20943549940848,1,NA,4.39347019483729e-10,-21.545731537932
"Croatia",1993,NA,4600463,"2.C",0.04784,NA,15.3416675085681,-3.03989316933976,1,NA,1.03989533227416e-08,-18.3815606779079
"Croatia",1993,NA,4600463,"2.F",1e-06,NA,15.3416675085681,-13.8155105579643,1,NA,2.17369425642593e-13,-29.1571780665324
"Croatia",1993,NA,4600463,"2.G",0.002804451,NA,15.3416675085681,-5.87654748108865,1,NA,6.09601903112795e-10,-21.2182149896568
"Croatia",1994,NA,4652024,"2.C",0.04784,NA,15.3528129516788,-3.03989316933976,1,NA,1.02836958708725e-08,-18.3927061210185
"Croatia",1994,NA,4652024,"2.F",1e-06,NA,15.3528129516788,-13.8155105579643,1,NA,2.14960197969744e-13,-29.168323509643
"Croatia",1994,NA,4652024,"2.G",0.004491587,NA,15.3528129516788,-5.40554918756165,1,NA,9.65512430718328e-10,-20.7583621392404
"Croatia",1995,33746209213.2781,4620030,"2.C",0.0619854,24.2421339283501,15.3459117565433,-2.78085640553869,1,587.681057400061,1.34166661255446e-08,-18.126768162082
"Croatia",1995,33746209213.2781,4620030,"2.F",0.01384895,24.2421339283501,15.3459117565433,-4.27954586149705,1,587.681057400061,2.99758876024615e-09,-19.6254576180404
"Croatia",1995,33746209213.2781,4620030,"2.G",0.006635169,24.2421339283501,15.3459117565433,-5.01537114053516,1,587.681057400061,1.43617444042571e-09,-20.3612828970785
"Croatia",1996,35784971087.6729,4557097,"2.C",0.076228,24.3007938401912,15.3321963559532,-2.57402642971601,1,590.528581263475,1.67273156573143e-08,-17.9062227856692
"Croatia",1996,35784971087.6729,4557097,"2.F",0.02327575,24.3007938401912,15.3321963559532,-3.76034323292249,1,590.528581263475,5.10758274401445e-09,-19.0925395888757
"Croatia",1996,35784971087.6729,4557097,"2.G",0.007840767,24.3007938401912,15.3321963559532,-4.84841861777237,1,590.528581263475,1.7205617962488e-09,-20.1806149737256
"Croatia",1997,37995954066.597,4534920,"2.C",0.07021,24.3607455190726,15.3273180008025,-2.65626452795298,1,593.445922245016,1.5482081271555e-08,-17.9835825287554
"Croatia",1997,37995954066.597,4534920,"2.F",0.03580945,24.3607455190726,15.3273180008025,-3.32954345392806,1,593.445922245016,7.89637964947562e-09,-18.6568614547305
"Croatia",1997,37995954066.597,4534920,"2.G",0.008618254,24.3607455190726,15.3273180008025,-4.75387276702718,1,593.445922245016,1.90042029407355e-09,-20.0811907678296
"Croatia",1998,38851218470.4858,4532135,"2.C",0.032256,24.3830052767299,15.3267036888594,-3.43405120653323,1,594.530946325039,7.11717545924823e-09,-18.7607548953926
"Croatia",1998,38851218470.4858,4532135,"2.F",0.050036,24.3830052767299,15.3267036888594,-2.99501253262964,1,594.530946325039,1.10402713070109e-08,-18.321716221489
"Croatia",1998,38851218470.4858,4532135,"2.G",0.009451014,24.3830052767299,15.3267036888594,-4.66163324164559,1,594.530946325039,2.0853337334391e-09,-19.988336930505
"Croatia",1999,38524755150.0201,4512597,"2.C",0.025746,24.3745668625197,15.3223833772371,-3.65947600374469,1,594.119509735442,5.70536212296378e-09,-18.9818593809818
"Croatia",1999,38524755150.0201,4512597,"2.F",0.0620715,24.3745668625197,15.3223833772371,-2.77946833258468,1,594.119509735442,1.37551613848965e-08,-18.1018517098218
"Croatia",1999,38524755150.0201,4512597,"2.G",0.009596512,24.3745668625197,15.3223833772371,-4.64635557986323,1,594.119509735442,2.12660514555144e-09,-19.9687389571003
"Croatia",2000,39664624919.5067,4468302,"2.C",0.0250432,24.4037255674476,15.3125190286507,-3.68715294538824,1,595.541821571295,5.60463460168986e-09,-18.9996719740389
"Croatia",2000,39664624919.5067,4468302,"2.F",0.0763625,24.4037255674476,15.3125190286507,-2.57226354100625,1,595.541821571295,1.70898251729628e-08,-17.8847825696569
"Croatia",2000,39664624919.5067,4468302,"2.G",0.010068699,24.4037255674476,15.3125190286507,-4.59832377622873,1,595.541821571295,2.25336134397362e-09,-19.9108428048794
"Croatia",2001,40899171102.42,4299642,"2.C",0.020624,24.4343756333453,15.2740423213839,-3.88129983278531,1,597.038712591419,4.79667842113367e-09,-19.1553421541692
"Croatia",2001,40899171102.42,4299642,"2.F",0.083958,24.4343756333453,15.2740423213839,-2.47743860518051,1,597.038712591419,1.95267419938683e-08,-17.7514809265644
"Croatia",2001,40899171102.42,4299642,"2.G",0.011336842,24.4343756333453,15.2740423213839,-4.47969750271134,1,597.038712591419,2.63669440385967e-09,-19.7537398240952
"Croatia",2002,43280736227.1184,4302174,"2.C",1e-06,24.4909734821329,15.2746310342959,-13.8155105579643,1,599.807782102537,2.32440621880937e-13,-29.0901415922602
"Croatia",2002,43280736227.1184,4302174,"2.F",0.095676,24.4909734821329,15.2746310342959,-2.34678779567378,1,599.807782102537,2.22389889390806e-08,-17.6214188299697
"Croatia",2002,43280736227.1184,4302174,"2.G",0.012359199,24.4909734821329,15.2746310342959,-4.39335463487782,1,599.807782102537,2.87277990151026e-09,-19.6679856691737
"Croatia",2003,45702446244.8419,4303399,"2.C",1e-06,24.5454176617475,15.2749157335271,-13.8155105579643,1,602.477528189626,2.32374455633791e-13,-29.0904262914913
"Croatia",2003,45702446244.8419,4303399,"2.F",0.1116655,24.5454176617475,15.2749157335271,-2.19224748364095,1,602.477528189626,2.59482097755751e-08,-17.467163217168
"Croatia",2003,45702446244.8419,4303399,"2.G",0.012710102,24.5454176617475,15.2749157335271,-4.36535816863595,1,602.477528189626,2.95350303329996e-09,-19.640273902163
"Croatia",2004,47614021361.3964,4304600,"2.C",1e-06,24.5863931212235,15.2751947763122,-13.8155105579643,1,604.490726711347,2.32309622264554e-13,-29.0907053342765
"Croatia",2004,47614021361.3964,4304600,"2.F",0.1260185,24.5863931212235,15.2751947763122,-2.07132655741163,1,604.490726711347,2.92753101333457e-08,-17.3465213337238
"Croatia",2004,47614021361.3964,4304600,"2.G",0.013335089,24.5863931212235,15.2751947763122,-4.3173564472047,1,604.490726711347,3.09786948845421e-09,-19.5925512235169
"Croatia",2005,49665566666.4992,4310145,"2.C",1e-06,24.6285777063241,15.2764821042054,-13.8155105579643,1,606.566839836445,2.32010756018649e-13,-29.0919926621697
"Croatia",2005,49665566666.4992,4310145,"2.F",0.14013069,24.6285777063241,15.2764821042054,-1.96517979181299,1,606.566839836445,3.25118273283149e-08,-17.2416618960184
